Гном Призыватель,gnom_prizivatel_priziv,gnom_prizivatel_ataka,gnomprizivatelsmert,gnomprizivatel
Гоблин-Телохранитель,goblinsapersmert,goblintelohataka,goblintelosmert,goblintelohran
Говорящий С Ветром,govorsvetrompriziv,govorashisvetromataka,govorsvetromsmert,govorsvetrom
Голем Анимуса,golemanimusapriziv,golemanimusaataka,golemanimusasmert,golemanimusa
Голова Мимирона,mimironpriziv,mimironataka,mimironsmert,mimiron
Голодный Дракон,golodnidrakonpriziv,golodnidrakonataka,golodnidrakonsmert,goloddrakon
Голодный Краб,golodcrabpriziv,golodcrabataka,golodcrabsmert,krab
Гончая Недр,gonchayanedrpriziv,gonchayanedrataka,gonchayanedrsmert,gonchayanedr
Горный Великан,gornivelikanpriziv,gornivelikanataka,gornivelikansmert,gornivelikan
Госпожа Боли,gospozhabolipriziv,gospozhaboliataka,gospozhabolismert,gospozhaboli
Гризли-Сталемех,grizlipriziv,grizliataka,grizlismert,grizlistalemeh
Громмаш Адский Крик,gromashpriziv,gromashataka,gromashsmert,gromash
Груул,grulpriziv,grulataka,grulsmert,grul
Губитель Крыла Тьмы,gubitelkrilapriziv,gubitelkrilaataka,gubitelkrilasmert,gubitelkrilatmi
Дворф Черного Железа,dvorfchernpriziv,dvorfchernataka,dvorfchernsmert,chernidvorf
Дворф-Диверсант,dvorfdiversantpriziv,dvorfdiversantataka,dvorfdiversantsmert,dvorfdiversant
Делящийся Слизнюк,delsliznykpriziv,delsliznykataka,delsliznyksmert,sliznyk
Демон Бездны,demonbezdnipriziv,demonbezdniataka,demonbezdnismert,demonbezdni
Дерзкая налетчица,derzknaletpriziv,derzknaletataka,derzknaletsmert,derzknaletchica
Дживс,dzhivspriziv,dzhivsataka,dzivssmert,dzhivs
Доктор Бум,boompriziv,boomataka,boomsmert,booom
Драконид-сокрушитель,drakonidsokrushpriziv,drakonidsokrushataka,drakonidsokrushsmert,drskonidsokrush
Дракономеханик,drakonomehpriziv,drakonomehataka,drakonomehsmert,drakonmehanik
Драконор-чародей,drakoncharodeipriziv,drakoncharodeiataka,drakoncharodeismert,drakoncharodei
Древний дозорный,drevnidozorpriziv,drevnidozorataka,drevnidozorsmert,drevnidozor
Древний исцелятор,drevnihilpriziv,drevnihilataka,drevnihilsmert,drevniiscelator
Древний маг,drevnimagpriziv,drevnimagataka,drevnimagsmert,drevnimag
Древо войны,drevovoinpriziv,drevovoinataka,drevovoinismert,drevovoini
Древо мудрости,drevomudrostipriziv,drevomudrostiataka,drevomudrostismert,drevomudrosti
Дробитель,drobitelpriziv,drobitelataka,drobitelsmert,drobitrl
Друид когтя,druidkogtapriziv,druidkogtaataka,druidkogtasmert,druidkogta
Друид пламени,druidplamenipriziv,druidplameniataka,druidplamenismert,druidplameni
Друид-змея,druidzmeyapriziv,druidzmeyaataka,druidzmeyasmert
Жаблин-ловец,zhablinpriziv,zhablinataka,zhablinsmert,zhablin
Железнозубый прыгун,zheleznzubpriziv,zheleznzumataka,zhelezsmert,zheleznozubiprigun
Железноклюв,zheleznoklyvpriziv,zheleznoklyvataka,zheleznoklyvsmert,zheleznoklyv
Железый исполин,zhelezispolinpriziv,zhelezispolinataka,zhelezispolinsmert,zhelezniispolin
Железный сенсей,zhelezsenseipriziv,zhelezsenseiataka,zhelezsenseismert,zheleznisensei
Жонглер кинжалами,zhonglerpriziv,zhonglerataka,zhonglersmert,zhongler
Темная жрица,temnayazhrica,zhricaataka,zricasmert,zhricatmi
Жрица Элуны,zhricaelunipriziv,zricaeluniataka,zhricaelunismertr,zhricaeluni
Жуткий инфернал,zhutkinfernalpriziv,zhutkiinfernalataka,zhtkinfernalsmert,zhutkiinfernal
Жуткий корсар,zurkikorsarpriziv,zhutkikorsarataka,zhtkikorsarsmert.,zhutkikorsar
Заблудившийся долгоног,dolgonogprizi,dolgonogataka,dolgonogsmert,zabluddolgonog
Заводной великан,zavodnoivelikanpriziv,zavodnoivelikanataka,zavodnoivelikansmert,zavodvelikan
Заводной гном,zavodnoignompriziv,zavodnoignomataka,zavodnoignomsmert,zavodnoiignom
Заступник Авангарда,zastupnikavanpriziv,zastupnikavanataka,zastupnikavansmert,zastupnikavangard
Защитник Аргуса,zashitnikargusapriziv,zashitargusataka,zashitargussmert,zashtinikargusa
Защитник королей,zashitnikkoroleipriziv,zashitnikkoroleiataka,zashitnikkoroleysmert,zashitnikkorolei
Защитница,zashitnicaataka,zashitnicasmert,zastupniksindorai
Защищенный мини-бот,zashisheniminibotpriziv,zhatniminibotataka,zashitminibotsmert,minibot
Злая курица,zlayakuricapriziv,zlayakuricaataka,zlayakuricasmert,zlayakurica
Зловещий кузнец,zloveshikuznecpriziv,zloveshikuznecataka,zloveshikuznecsmert,zloveshikuznec
Злой надсмотрщик,nadsmotrshikpriziv,zloinadsmotrshikataka,nadsmotrshksmert,zloinadsmotrshik
Знахарь вуду,vudupriziv,vuduataka,vudusmert,znaharvudu
Изера,izerapriziv,izeraataka,izerasmert,izera
Изрыгатель сажи,izrigatelsazhpriziv,izrigatelsazhiataka,izrigatelsazhissmert,sazha
Изрыгатель слизи,belcherpriziv,belcherataka,belchersmert,izrigatel
Иллидан Ярость Бури,ilidanpriziv,ilidanataka,ilidansmert,ilidan
Императорская кобра,impercobrapriziv,impercobraataka,impercobrasmert,impercobra
Инженер-новичок,inzhenernovichpriziv,inzhenernovichataka,inzhenernovichsmert,inzhnovich
Интендант,intendantpriziv,intendantataka,intendantsmert.intendantt
Каменная горгулья,kamengorgulyapriziv,kamenagorgulya,kamengorgulyasmert
Капитан Зеленямс,zelenyamspriziv,zelenyamsataka,kapitanzeenyamssmert,capzele
Капитан Южных морей,kapityuzhnmoreipriziv,kapitanyuznmoreataka,kapityuzhnmoreismrt,cakmorei
Кел'Тузад,keltuzadpriziv,keltuzadataka,keltuzadsmert,keltuz
Кенарий,kenariypriziv,kenariyataka,kenariysmert,keltuz
Кислотный слизнюк,sliznukpriziv,sliznukataka,sliznuksmert,kislotsliz
Кобальтовый страж,kobaltstrazhpriziv,kobaltstrazhataka,kobaltstrazhsmert,kobastrazh
Кобольд-геомант,kobaltgeomantpriziv,kobaltgeomantataka,kobaltgeomantsmert,kobageo
Колодец Света,kolodecsvetaprizivb,kolodecsvetaataka,kolodecsvetasmert,kolodecsveta
Командир Авангарда,komandiravangardapriziv,komandiravangardaataka,komandiravangardasmert,komandavan
Командир Песни Войны,komandirpesnipriziv,komandirpesniataka,komandirpesnismert,komandavan
Контрзаклинательница,kontrzaklinaelpriziv,kontrzaklinatelataka,kontrzaklinatelsmert,kontzaklin
Кор'кронский воин,korkonpriziv,korkonataka,korkonvoinsmert,korkon
Корабельная пушка,korpushkapriziv,korabpushkaataka,korpushkasmert,korpush
Король Круш,krushpriziv.mpm3,krushataka,krushsmert,krush
Король Мукла,muklapriziv,muklaataka,muklasmert,mukla
Кроававый бес,krovbespriziv,krovbesataka,krovbessmert,krovbes
Кровожадный корсар,krovkorsarpriziv,krovkorsarataka,krovkorsarsmert,krovkor
Крутящийся меченосец,krutmechenosecpriziv,krutmechenosecataka,krutmechenosecsmert,kruchus
Кэрн Кровавое Копыто,kernpriziv,kernataka,kernsmert,kern
Лазурный дракон,lazurdrakpriziv,lazudataka,lazurdrsmert,lazur
Ледяной Элементаль,ledelempriziv,ledelemataka,ledelemsmert,ledelem
Лепрогном,leprpriziv,leprataka,leprsmert,lepro
Лидер рейда,liderrkpriziv,liderraidataka,liderreidasmert,liderrei
Лирой Дженкинс,liroypriziv,liroyataka,liroysmert,jenkins
Лорд Джараксус,jaraxuspriziv,jaraxusataka,jaraxussmert,jaraxus
Лотхиб,lothibpriziv,lothibataka,lothibsmert,lothib
Любительница маны,lybmanipriziv,lybmaniataka,lybmanismert,lybmana
Маг Даларана,magdalaranpriziv,magdalranataka,magdalaransmert,magdalar
Маг Кирин-Тора,mgkirintorpriziv,mgkirintorataka,mgkirintorsmert,magkirin
Маг крови Талнос,talnospriziv,talnosataka,talnossmert,talnos
Магический призрак,magprizpriziv,magprizataka,magprizsmert,magpriz
Магмовый яростень,magyarostpriziv,magyarostataka,magyarostsmert,magyarost
Мал'Ганис,malganispriziv,malganisataka,malganissmert,malganis
Малигос,maligospriziv,maligosataka,maligosmert,maligos
Малорн,malornpriziv,malornataka,malornsmert,malorn
Маназмей,manazmeipriziv,manazmeiataka,manazmeismert,manazmei
Манекен-мишень,manekenpiziv,manekenataka,manekensmert,manaeken
Мастер ковки клинков,masterklinkovpriziv,masterklinkovataka,masterklinkovsmert,masterkovki
Мастер маскировки,mastermaskirpriziv,mastermaskirataka,mastermaskirsmert,mastermaskir
Мастер шестеренок,mastshesterpriziv,mastshesterataka,mastshestersmert,mastershester
Матрос Южных морей,matrospriziv,matrosataka,matrossmert,matros
Мексна,meksnapriziv,meksnaataka,meksnasmert,meksna
Ментальный техник,mentaltehpriziv,mentaltehataka,mentaltehsmert,mentalteh
Метатель топоров,mettaltoporpriziv,mettaltoporataka,mettaltoporsmert,mettopor
Механический йети,mehetipriziv,mehetiataka,mehetismert,meheti
Механо-медвекот,mehkotpriziv,mehkotataka,mehkotsmert,mehmedvekot
Механо-усилитель,mehusilpriziv,mehusilataka,mehusilsmert,mehusil
Механосборщик,mehsborpriziv,mehborataka,mehsborsmert,mehsbor
Мехмастер Замыкалец,mexmasterpriziv,mexmasterataka,mexmastersmert,mehmaser
Микроробот,mikrorobpriziv,mikrorobataka,mikrorobsmert,mikrobot
Миллхаус Манашторм,manashtormpriziv,manashtormataka,manashtormsmert,manashtorm
Мини-маг,minimagpriziv,minimagataka,minimagsmert,minimag
Миротворец Алдоров,piskiperpriziv,piskiperataka,piskipersmert,piskip
Мистик Кезана,kezanpriziv,kezanataka,kezansmert,kezan
Могильщик,mogilpriziv,mogilshikataka,mogilsmert,mogil
Молодая жрица,molodzhricapriziv,molodzhricaataka,molodzhricasmert,molodzhric
Молодой хмелевар,molodhmelpriziv,molodhmelataka,molodhmelsmert,molodhmel
Морозный йети,morozetipriziv,morozetiataka,morozetismert,morozeti
Морской великан,morskvelpriziv,zavsehdataiataka,morskvelsmert,morskvel
Мрачный завсегдатай,zavsehdataipriziv,zavsehdataiataka,zavsehdataismert,zavseg
Мурлок-волнолов,murlvolnolovpriziv,murlvolnolovataka,zhablinsmert,murvolnolov
Мурлок-волномут,murlvolnomutpriziv,murlvolnomutataka,murlvolnmutsmert,murvolnomut
Мурлок-духостранник,murduhopriziv,murduhoataka,murduhosmert,murduho
Мурлок-налетчик,murnaletpriziv,murnaletataka,zhablinsmert,murnalet
Мурлок-полководец,murpolkpriziv,murpolkataka,murpolksmert,murpolk
Нага-целительница,nagacelitpriziv,nagacelitataka,nagacelitsmert,nagahil
Небесный голем,nebesgolempriziv,nebesgolemataka,nebesgolemsmert,nebesgol
Неистовая гарпия,neistgarppriziv,neistgarpataa,neistgarpsmert,neistgarp
Нептулон,neptulonpriziv,neptulonataka,neptulonsmert,neptul
Неруб-душитель,nerdushpriziv,nerdushataka,nerdushsmert,nerdush
Нерубское яйцо,nerubyacopriziv,nerubyacoataka,nerubyacosmert,neryaco
Нестабильный вурдалак,nestabilvurdalpriziv,nestabilvurdalatka,nestabilvurdalsmert,nestabvurd
Несущийся кодо,neskodoprziv,neskodoataka,neskodosmert,neskodo
Ноздорму,nozdormypriziv,nozdormyatala,mozdormysmert,nozdorm
Ночной Клинок,nochklinpriziv,nochklinataka,nochklinsmert,nochklin
Оазисный хрустогрыз,hrustogrizpriziv,hrustogrizataka,hrustogrizsmer,hrustogriz
Огненный бес,ogbespriziv,ogbesataka,ogbessmert,ognenbes
Огненный великан,ogvelpriziv,ogvelataka,ogvelsmert,ogvel
Огненный левиафан,ogleviafanpriziv,ogleviafanataka,ogleviafansmert,ogleviaf
















